Game Date,Game Time,Visitor,Home,Arena,City,Notes
12/20/2024,7:00p,Charlotte Hornets,Philadelphia 76ers,Wells Fargo Center,Philidelphia,
12/21/2024,7:30p,Utah Jazz,Brooklyn Nets,Barclays Center,New York,
12/23/2024,7:00p,San Antonio Spurs,Philadelphia 76ers,Wells Fargo Center,Philidelphia,
12/23/2024,7:30p,Toronto Raptors,New York Knicks,Madison Square Garden (IV),New York,
12/25/2024,12:00p,San Antonio Spurs,New York Knicks,Madison Square Garden (IV),New York,
12/25/2024,5:00p,Philadelphia 76ers,Boston Celtics,TD Garden,Boston,
12/26/2024,7:00p,Charlotte Hornets,Washington Wizards,Capital One Arena,Washington DC,
12/27/2024,7:30p,Indiana Pacers,Boston Celtics,TD Garden,Boston,
12/27/2024,7:30p,San Antonio Spurs,Brooklyn Nets,Barclays Center,New York,
12/28/2024,7:00p,New York Knicks,Washington Wizards,Capital One Arena,Washington DC,
12/29/2024,6:00p,Indiana Pacers,Boston Celtics,TD Garden,Boston,
12/30/2024,7:00p,New York Knicks,Washington Wizards,Capital One Arena,Washington DC,
12/31/2024,3:00p,Toronto Raptors,Boston Celtics,TD Garden,Boston,
1/1/2025,7:00p,Chicago Bulls,Washington Wizards,Capital One Arena,Washington DC,
1/1/2025,7:30p,Utah Jazz,New York Knicks,Madison Square Garden (IV),New York,
1/4/2025,6:00p,Philadelphia 76ers,Brooklyn Nets,Barclays Center,New York,
1/5/2025,6:00p,New Orleans Pelicans,Washington Wizards,Capital One Arena,Washington DC,
1/6/2025,7:00p,Phoenix Suns,Philadelphia 76ers,Wells Fargo Center,Philidelphia,
1/6/2025,7:30p,Indiana Pacers,Brooklyn Nets,Barclays Center,New York,
1/6/2025,7:30p,Orlando Magic,New York Knicks,Madison Square Garden (IV),New York,
1/7/2025,7:00p,Houston Rockets,Washington Wizards,Capital One Arena,Washington DC,
1/8/2025,7:00p,Toronto Raptors,New York Knicks,Madison Square Garden (IV),New York,
1/8/2025,7:00p,Washington Wizards,Philadelphia 76ers,Wells Fargo Center,Philidelphia,
1/8/2025,7:30p,Detroit Pistons,Brooklyn Nets,Barclays Center,New York,
1/10/2025,7:00p,New Orleans Pelicans,Philadelphia 76ers,Wells Fargo Center,Philidelphia,
1/10/2025,7:30p,Sacramento Kings,Boston Celtics,TD Garden,Boston,
